,date,ename,enum,reps,kg,rpe
0,04-10-23,deadlift,0,5,70.0,8
1,04-10-23,deadlift,1,3,130.0,9
2,18-09-23,benchpress,0,6,60.0,8
3,18-09-23,benchpress,0,6,60.0,8
4,18-09-23,benchpress,0,6,60.0,8
5,20-09-23,benchpress,0,6,60.0,8
6,20-09-23,benchpress,0,6,60.0,8
7,20-09-23,benchpress,0,6,60.0,8
8,20-09-23,benchpress,0,6,60.0,8
9,22-09-23,deadlift,0,3,135.0,8
10,22-09-23,deadlift,0,3,135.0,8
11,22-09-23,weighted pull-up,0,6,95.0,8
12,22-09-23,weighted pull-up,0,6,95.0,8
13,26-09-23,benchpress,0,2,70.0,9
14,26-09-23,benchpress,0,2,70.0,9
15,28-09-23,benchpress,0,5,65.0,8
16,28-09-23,benchpress,0,5,65.0,8
17,28-09-23,benchpress,0,5,65.0,9
18,28-09-23,deadlift,0,2,140.0,9
19,28-09-23,deadlift,0,4,135.0,9
20,28-09-23,deadlift,0,4,135.0,9
21,28-09-23,deadlift,0,3,135.0,9
22,03-10-23,deadlift,0,3,140.0,8
23,03-10-23,deadlift,0,3,140.0,8
24,03-10-23,deadlift,0,3,140.0,8
25,05-10-23,benchpress,0,6,65.0,8
26,05-10-23,benchpress,0,6,65.0,8
27,05-10-23,benchpress,0,5,65.0,9
28,07-10-23,deadlift,0,3,140.0,9
29,07-10-23,deadlift,0,1,140.0,9
30,10-10-23,deadlift,0,5,135.0,10
31,10-10-23,deadlift,1,5,135.0,9
32,10-10-23,deadlift,2,5,135.0,10
33,10-10-23,benchpress,0,6,65.0,9
34,10-10-23,benchpress,1,6,65.0,9
35,10-10-23,benchpress,2,5,65.0,10
36,14-10-23,benchpress,1,4,70.0,9
37,14-10-23,benchpress,1,3,70.0,9
38,14-10-23,benchpress,1,2,70.0,9
39,14-10-23,deadlift,1,3,140.0,8
40,14-10-23,deadlift,1,3,140.0,8
41,14-10-23,deadlift,1,3,140.0,8
42,14-10-23,deadlift,1,3,140.0,9
43,17-10-23,deadlift,1,5,90.0,3
44,17-10-23,deadlift,2,5,90.0,3
45,17-10-23,deadlift,3,5,90.0,3
46,17-10-23,benchpress,1,5,40.0,2
47,17-10-23,benchpress,2,5,40.0,2
48,17-10-23,benchpress,3,5,40.0,2
49,21-10-23,deadlift,1,5,100.0,4
50,21-10-23,deadlift,2,5,100.0,4
51,21-10-23,deadlift,3,5,100.0,4
52,21-10-23,benchpress,1,5,50.0,5
53,21-10-23,benchpress,2,5,50.0,6
54,21-10-23,benchpress,3,5,50.0,6
55,04-11-23,deadlift,1,3,120.0,7
56,04-11-23,deadlift,1,3,120.0,7
57,04-11-23,deadlift,1,3,120.0,7
58,04-11-23,deadlift,1,3,120.0,7
59,04-11-23,benchpress,1,3,60.0,8
60,04-11-23,benchpress,1,3,60.0,8
61,04-11-23,benchpress,1,3,60.0,8
62,04-11-23,benchpress,1,3,60.0,8
63,09-11-23,benchpress,1,1,70.0,8
64,09-11-23,benchpress,2,1,60.0,8
65,14-11-23,HB: SC 20mm,1,1,95.0,7
66,14-11-23,deadlift,1,4,130.0,8
67,14-11-23,deadlift,2,3,130.0,10
68,14-11-23,HB: SC 20mm,2,1,100.0,8
69,14-11-23,deadlift,3,3,130.0,9
70,14-11-23,HB: SC 20mm,3,1,100.0,9
71,14-11-23,deadlift,4,3,130.0,8
72,14-11-23,HB: SC 20mm,4,1,100.0,8
73,14-11-23,deadlift,5,3,130.0,9
74,14-11-23,HB: SC 20mm,5,1,100.0,8
75,16-11-23,weighted pull-up,1,3,103.0,8
76,16-11-23,weighted pull-up,2,3,103.0,8
77,16-11-23,weighted pull-up,3,3,103.0,8
78,16-11-23,weighted pull-up,4,3,103.0,8
79,21-11-23,deadlift,1,3,135.0,9
80,21-11-23,deadlift,2,1,135.0,9
81,21-11-23,HB: SC 20mm,1,10,100.0,9
82,21-11-23,HB: SC 20mm,2,10,100.0,8
83,21-11-23,HB: SC 20mm,3,10,100.0,8
84,21-11-23,deadlift,3,3,135.0,9
85,21-11-23,deadlift,4,3,130.0,9
86,21-11-23,HB: IMR 20mm,1,10,82.5,7
87,21-11-23,HB: IMR 20mm,2,10,82.5,7
88,21-11-23,deadlift,5,2,130.0,9
89,21-11-23,HB: IMR 20mm,3,10,82.5,7
90,21-11-23,HB: IMR 20mm,4,10,82.5,7
91,23-11-23,deadlift,1,3,130.0,8
92,23-11-23,deadlift,2,3,130.0,8
93,23-11-23,deadlift,3,3,130.0,8
94,23-11-23,benchpress,1,4,60.0,8
95,23-11-23,benchpress,2,3,60.0,8
96,23-11-23,benchpress,3,3,60.0,8
97,26-11-23,benchpress,1,3,60.0,7
98,26-11-23,benchpress,2,3,60.0,7
99,26-11-23,benchpress,3,3,60.0,7
100,26-11-23,benchpress,4,3,60.0,7
101,26-11-23,benchpress,5,3,60.0,7
102,26-11-23,HB: SC 20mm,1,10,102.5,9
103,26-11-23,HB: SC 20mm,2,5,102.5,6
104,26-11-23,HB: SC 20mm,3,10,102.5,8
105,26-11-23,HB: IMR 20mm,1,10,86.0,8
106,26-11-23,weighted pull-up,1,3,106.5,7
107,26-11-23,weighted pull-up,2,3,106.5,7
108,26-11-23,HB: IMR 20mm,2,10,86.0,7
109,26-11-23,weighted pull-up,3,3,106.5,8
110,26-11-23,HB: IMR 20mm,3,10,86.0,7
111,26-11-23,weighted pull-up,4,3,106.5,9
112,26-11-23,weighted pull-up,5,3,106.5,9
113,28-11-23,HB: SC 20mm,1,10,102.5,8
114,28-11-23,deadlift,1,3,130.0,8
115,28-11-23,HB: SC 20mm,2,10,103.5,8
116,28-11-23,HB: SC 20mm,3,10,103.5,8
117,28-11-23,deadlift,2,1,130.0,9
118,28-11-23,HB: IMR 20mm,1,10,85.0,8
119,28-11-23,HB: IMR 20mm,2,10,86.75,8
120,28-11-23,HB: IMR 20mm,3,4,87.5,10
121,30-11-23,benchpress,1,4,60.0,8
122,30-11-23,benchpress,2,5,60.0,8
123,30-11-23,HB: IMR 20mm,1,10,85.0,8
124,30-11-23,HB: IMR 20mm,2,10,85.0,8
125,30-11-23,HB: IMR 20mm,3,10,86.25,9
126,30-11-23,HB: SC 20mm,1,10,102.5,9
127,30-11-23,HB: SC 20mm,2,10,103.75,8
128,30-11-23,HB: SC 20mm,3,10,105.0,8
129,30-11-23,benchpress,3,4,60.0,8
130,30-11-23,benchpress,4,4,60.0,8
131,02-12-23,deadlift,1,4,130.0,8
132,02-12-23,deadlift,2,4,130.0,8
133,02-12-23,deadlift,3,4,130.0,8
134,02-12-23,deadlift,4,4,130.0,8
135,05-12-23,benchpress,1,3,65.0,8
136,05-12-23,benchpress,2,3,65.0,9
137,05-12-23,benchpress,3,3,65.0,9
138,05-12-23,HB: SC 20mm,1,10,97.5,7
139,05-12-23,HB: SC 20mm,2,10,102.5,8
140,05-12-23,HB: SC 20mm,3,10,105.0,8
141,05-12-23,HB: IMR 20mm,1,10,86.0,7
142,05-12-23,HB: IMR 20mm,2,10,87.0,7
143,05-12-23,HB: IMR 20mm,3,10,88.0,7
