date,ename,ereps,duration,kg
2024-01-08 00:00:00,HB: IMR 20mm,1,10.0,62.0
2024-01-08 00:00:00,HB: IMR 20mm,1,10.0,62.0
2024-01-08 00:00:00,HB: IMR 20mm,2,10.0,62.0
2024-01-08 00:00:00,HB: IMR 20mm,1,10.0,62.0
2024-01-08 00:00:00,HB: IMR 20mm,1,10.0,62.0
2024-01-08 00:00:00,HB: IMR 20mm,1,10.0,62.0
2024-01-08 00:00:00,HB: IMR 20mm,1,10.0,62.0
2024-01-08 00:00:00,HB: IMR 20mm,1,10.0,62.0
2024-01-03 00:00:00,HB: SC 20mm,1,10.0,103.0
2024-01-03 00:00:00,weighted pull up,3,30.281,103.0
2024-01-03 00:00:00,HB: SC 20mm,1,10.0,103.0
2024-01-03 00:00:00,weighted pull up,3,19.246,103.0
2024-01-03 00:00:00,HB: SC 20mm,1,10.0,103.0
2024-01-03 00:00:00,weighted pull up,3,25.271,103.0
2024-01-03 00:00:00,benchpress,3,95.087,65.0
2024-01-03 00:00:00,HB: IMR 20mm,1,10.0,86.0
2024-01-03 00:00:00,benchpress,4,30.924,65.0
2024-01-03 00:00:00,HB: IMR 20mm,1,10.0,87.0
2024-01-03 00:00:00,benchpress,4,25.551,65.0
2024-01-03 00:00:00,HB: IMR 20mm,1,10.0,88.0
2024-01-03 00:00:00,HB: IMR 20mm,1,10.0,62.0
2024-01-03 00:00:00,HB: IMR 20mm,1,10.0,62.0
2024-01-03 00:00:00,HB: IMR 20mm,1,10.0,62.0
2024-01-01 00:00:00,deadlift,4,3.33,135.0
2024-01-01 00:00:00,deadlift,4,45.454,135.0
2024-01-01 00:00:00,deadlift,4,26.512,135.0
2024-01-01 00:00:00,deadlift,4,30.104,135.0
2024-01-01 00:00:00,HB: IMR 20mm,1,10.0,62.0
2024-01-01 00:00:00,HB: IMR 20mm,1,10.0,62.0
2024-01-01 00:00:00,HB: IMR 20mm,1,10.0,62.0
2024-01-01 00:00:00,HB: IMR 20mm,1,10.0,62.0
2024-01-01 00:00:00,HB: IMR 20mm,1,10.0,62.0
2024-01-01 00:00:00,HB: IMR 20mm,1,10.0,62.0
2024-01-01 00:00:00,HB: IMR 20mm,1,10.0,62.0
2024-01-01 00:00:00,HB: IMR 20mm,1,10.0,62.0
2024-01-08,HB: IMR 20mm,1,10.0,62.0
2024-01-08,HB: IMR 20mm,1,10.0,62.0
2024-01-08,HB: IMR 20mm,2,10.0,62.0
2024-01-08,HB: IMR 20mm,1,10.0,62.0
2024-01-08,HB: IMR 20mm,1,10.0,62.0
2024-01-08,HB: IMR 20mm,1,10.0,62.0
2024-01-08,HB: IMR 20mm,1,10.0,62.0
2024-01-08,HB: IMR 20mm,1,10.0,62.0
2024-01-03,HB: IMR 20mm,1,10.0,86.0
2024-01-03,HB: IMR 20mm,1,10.0,62.0
2024-01-03,HB: IMR 20mm,1,10.0,62.0
2024-01-03,HB: IMR 20mm,1,10.0,62.0
2024-01-03,HB: IMR 20mm,1,10.0,88.0
2024-01-03,benchpress,4,25.551,65.0
2024-01-03,HB: IMR 20mm,1,10.0,87.0
2024-01-03,benchpress,4,30.924,65.0
2024-01-03,weighted pull up,3,25.271,103.0
2024-01-03,benchpress,3,95.087,65.0
2024-01-03,HB: SC 20mm,1,10.0,103.0
2024-01-03,weighted pull up,3,19.246,103.0
2024-01-03,HB: SC 20mm,1,10.0,103.0
2024-01-03,weighted pull up,3,30.281,103.0
2024-01-03,HB: SC 20mm,1,10.0,103.0
2024-01-01,HB: IMR 20mm,1,10.0,62.0
2024-01-01,HB: IMR 20mm,1,10.0,62.0
2024-01-01,HB: IMR 20mm,1,10.0,62.0
2024-01-01,HB: IMR 20mm,1,10.0,62.0
2024-01-01,HB: IMR 20mm,1,10.0,62.0
2024-01-01,HB: IMR 20mm,1,10.0,62.0
2024-01-01,deadlift,4,30.104,135.0
2024-01-01,HB: IMR 20mm,1,10.0,62.0
2024-01-01,deadlift,4,26.512,135.0
2024-01-01,deadlift,4,45.454,135.0
2024-01-01,deadlift,4,3.33,135.0
2024-01-01,HB: IMR 20mm,1,10.0,62.0
2023-12-31,HB: IMR 20mm,1,10.0,62.0
2023-12-31,HB: IMR 20mm,1,10.0,62.0
2023-12-31,HB: IMR 20mm,1,10.0,62.0
2023-12-31,HB: IMR 20mm,1,10.0,62.0
2023-12-31,HB: IMR 20mm,1,10.0,62.0
2023-12-31,HB: IMR 20mm,1,10.0,62.0
2023-12-31,HB: IMR 20mm,1,10.0,62.0
2023-12-31,HB: IMR 20mm,1,10.0,62.0
2023-12-27,HB: IMR 20mm,1,10.0,86.0
2023-12-27,HB: SC 20mm,1,10.0,106.0
2023-12-27,weighted pull up,5,32.567,102.0
2023-12-27,HB: SC 20mm,1,10.0,106.0
2023-12-27,weighted pull up,4,63.617,102.0
2023-12-27,weighted pull up,6,132.574,106.0
2023-12-27,benchpress,5,382.608,65.0
2023-12-27,HB: IMR 20mm,1,10.0,86.0
2023-12-27,benchpress,5,51.588,65.0
2023-12-27,HB: IMR 20mm,1,10.0,86.0
2023-12-27,benchpress,5,40.208,65.0
2023-12-27,HB: SC 20mm,1,10.0,106.0
2023-12-26,HB: IMR 20mm,1,10.0,62.0
2023-12-26,HB: IMR 20mm,1,10.0,62.0
2023-12-26,HB: IMR 20mm,1,10.0,62.0
2023-12-26,HB: IMR 20mm,1,10.0,62.0
2023-12-26,HB: IMR 20mm,1,10.0,62.0
2023-12-26,HB: IMR 20mm,1,10.0,62.0
2023-12-26,HB: IMR 20mm,1,10.0,62.0
2023-12-26,HB: IMR 20mm,1,10.0,62.0
2023-12-24,deadlift,4,115.517,135.0
2023-12-24,deadlift,4,116.535,135.0
2023-12-24,deadlift,4,25.359,135.0
2023-12-23,HB: IMR 20mm,1,10.0,62.0
2023-12-23,HB: IMR 20mm,1,10.0,62.0
2023-12-23,HB: IMR 20mm,1,10.0,62.0
2023-12-23,HB: IMR 20mm,1,10.0,62.0
2023-12-23,HB: IMR 20mm,1,10.0,62.0
2023-12-23,HB: IMR 20mm,1,10.0,62.0
2023-12-23,HB: IMR 20mm,1,10.0,62.0
2023-12-23,HB: IMR 20mm,1,10.0,62.0
2023-12-21,HB: IMR 20mm,1,10.0,62.0
2023-12-21,HB: IMR 20mm,2,10.0,62.0
2023-12-21,HB: IMR 20mm,1,10.0,62.0
2023-12-21,HB: IMR 20mm,1,10.0,62.0
2023-12-21,HB: IMR 20mm,1,10.0,62.0
2023-12-21,HB: IMR 20mm,1,10.0,62.0
2023-12-21,HB: IMR 20mm,1,10.0,62.0
2023-12-21,HB: IMR 20mm,1,10.0,62.0
2023-12-20,HB: IMR 20mm,1,10.0,62.0
2023-12-20,HB: IMR 20mm,1,10.0,62.0
2023-12-20,HB: IMR 20mm,1,10.0,62.0
2023-12-20,HB: IMR 20mm,1,10.0,62.0
2023-12-20,HB: IMR 20mm,1,10.0,62.0
2023-12-20,HB: IMR 20mm,1,10.0,62.0
2023-12-20,HB: IMR 20mm,1,10.0,62.0
2023-12-20,HB: IMR 20mm,1,10.0,62.0
2023-12-19,HB: IMR 20mm,1,10.0,62.0
2023-12-19,HB: IMR 20mm,1,10.0,62.0
2023-12-19,HB: IMR 20mm,1,10.0,62.0
2023-12-19,HB: IMR 20mm,1,10.0,62.0
2023-12-19,HB: IMR 20mm,1,10.0,62.0
2023-12-19,HB: IMR 20mm,1,10.0,62.0
2023-12-19,HB: IMR 20mm,1,10.0,62.0
2023-12-19,HB: SC 20mm,1,10.0,103.0
2023-12-19,HB: IMR 20mm,1,10.0,62.0
2023-12-19,HB: IMR 20mm,1,10.0,86.0
2023-12-19,HB: IMR 20mm,1,10.0,86.0
2023-12-19,HB: SC 20mm,1,10.0,103.0
2023-12-19,HB: SC 20mm,1,10.0,103.0
2023-12-19,HB: IMR 20mm,1,10.0,86.0
2023-12-17,benchpress,3,,65.0
2023-12-17,deadlift,3,529.381,135.0
2023-12-17,deadlift,3,51.68,135.0
2023-12-17,benchpress,5,,65.0
2023-12-17,deadlift,3,23.703,135.0
2023-12-17,benchpress,3,,65.0
2023-12-17,weighted pull up,3,309.8,111.0
2023-12-17,weighted pull up,3,73.2,111.0
2023-12-17,weighted pull up,3,66.9,111.0
2023-12-16,HB: IMR 20mm,1,10.0,62.0
2023-12-16,HB: IMR 20mm,1,10.0,62.0
2023-12-16,HB: IMR 20mm,1,10.0,62.0
2023-12-16,HB: IMR 20mm,1,10.0,62.0
2023-12-16,HB: IMR 20mm,1,10.0,62.0
2023-12-16,HB: IMR 20mm,1,10.0,62.0
2023-12-16,HB: IMR 20mm,1,10.0,62.0
2023-12-16,HB: IMR 20mm,1,10.0,62.0
2023-12-14,HB: IMR 20mm,1,10.0,87.0
2023-12-14,HB: IMR 20mm,1,10.0,87.0
2023-12-13,weighted pull up,1,10.302,103.0
2023-12-13,HB: SC 20mm,1,10.0,103.0
2023-12-13,weighted pull up,1,13.025,103.0
2023-12-13,HB: SC 20mm,1,10.0,103.0
2023-12-13,HB: SC 20mm,1,10.0,103.0
2023-12-13,weighted pull up,4,57.503,103.0
2023-12-13,HB: IMR 20mm,1,10.0,62.0
2023-12-13,HB: IMR 20mm,1,10.0,87.0
2023-12-13,HB: IMR 20mm,1,10.0,62.0
2023-12-13,HB: IMR 20mm,1,10.0,62.0
2023-12-13,HB: IMR 20mm,1,10.0,62.0
2023-12-13,HB: IMR 20mm,1,10.0,62.0
2023-12-13,HB: IMR 20mm,1,10.0,62.0
2023-12-13,HB: IMR 20mm,1,10.0,62.0
2023-12-13,HB: IMR 20mm,1,10.0,62.0
2023-12-12,benchpress,5,52.901,60.0
2023-12-12,benchpress,5,41.106,60.0
2023-12-12,HB: SC 20mm,1,10.0,106.0
2023-12-12,HB: SC 20mm,1,10.0,106.0
2023-12-12,HB: IMR 20mm,1,10.0,87.0
2023-12-12,HB: SC 20mm,1,10.0,106.0
2023-12-12,HB: SC 20mm,1,10.0,106.0
2023-12-12,HB: IMR 20mm,1,10.0,87.0
2023-12-12,HB: IMR 20mm,1,10.0,87.0
2023-12-12,benchpress,5,114.349,60.0
2023-12-12,deadlift,3,31.661,135.0
2023-12-12,HB: IMR 20mm,1,10.0,87.0
2023-12-11,HB: IMR 20mm,1,10.0,62.0
2023-12-11,HB: IMR 20mm,1,10.0,62.0
2023-12-11,HB: IMR 20mm,1,10.0,62.0
2023-12-11,HB: IMR 20mm,1,10.0,62.0
2023-12-11,HB: IMR 20mm,1,10.0,62.0
2023-12-11,HB: IMR 20mm,1,10.0,62.0
2023-12-11,HB: IMR 20mm,1,10.0,62.0
2023-12-11,HB: IMR 20mm,1,10.0,62.0
2023-12-11,deadlift,2,15.554,110.0
2023-12-11,deadlift,3,27.49,135.0
2023-12-11,deadlift,3,54.218,135.0
2023-12-10,HB: IMR 20mm,1,10.0,62.0
2023-12-10,HB: IMR 20mm,1,10.0,62.0
2023-12-10,HB: IMR 20mm,1,10.0,62.0
2023-12-10,HB: IMR 20mm,1,10.0,62.0
2023-12-10,HB: IMR 20mm,1,10.0,62.0
2023-12-10,HB: IMR 20mm,1,10.0,62.0
2023-12-10,HB: IMR 20mm,1,10.0,62.0
2023-12-09,HB: IMR 20mm,1,10.0,62.0
2023-12-09,HB: IMR 20mm,1,10.0,62.0
2023-12-09,HB: IMR 20mm,1,10.0,62.0
2023-12-09,HB: IMR 20mm,1,10.0,62.0
2023-12-09,HB: IMR 20mm,1,10.0,62.0
2023-12-08,HB: IMR 20mm,1,10.0,62.0
2023-12-08,HB: IMR 20mm,4,10.0,62.0
2023-12-08,HB: IMR 20mm,1,10.0,62.0
2023-12-08,HB: IMR 20mm,1,10.0,62.0
2023-12-08,HB: IMR 20mm,1,10.0,62.0
2023-12-08,HB: IMR 20mm,1,10.0,62.0
2023-12-08,HB: IMR 20mm,1,10.0,62.0
2023-12-08,HB: IMR 20mm,1,10.0,62.0
2023-12-05,benchpress,2,73.2,60.0
2023-12-05,HB: SC 20mm,10,30.0,105.0
2023-12-05,benchpress,5,92.9,40.0
2023-12-05,HB: SC 20mm,1,10.0,97.5
2023-12-05,benchpress,3,57.0,50.0
2023-12-05,benchpress,3,30.0,65.0
2023-12-05,benchpress,3,30.0,65.0
2023-12-05,benchpress,3,30.0,65.0
2023-12-05,HB: SC 20mm,10,30.0,97.5
2023-12-05,HB: SC 20mm,1,10.0,103.0
2023-12-05,HB: SC 20mm,10,30.0,102.5
2023-12-05,HB: IMR 20mm,10,30.0,86.0
2023-12-05,HB: SC 20mm,1,10.0,103.0
2023-12-05,HB: IMR 20mm,10,30.0,88.0
2023-12-05,HB: IMR 20mm,1,10.0,88.0
2023-12-05,benchpress,3,78.1,65.0
2023-12-05,HB: IMR 20mm,1,10.0,86.0
2023-12-05,benchpress,3,45.5,65.0
2023-12-05,HB: IMR 20mm,1,10.0,86.0
2023-12-05,benchpress,3,62.8,65.0
2023-12-05,HB: IMR 20mm,10,30.0,87.0
2023-12-02,deadlift,2,10.8,110.0
2023-12-02,deadlift,4,20.8,130.0
2023-12-02,deadlift,4,30.2,130.0
2023-12-02,deadlift,4,32.7,130.0
2023-12-02,deadlift,4,34.3,130.0
2023-12-02,deadlift,4,30.0,130.0
2023-12-02,deadlift,4,30.0,130.0
2023-12-02,deadlift,4,30.0,130.0
2023-12-02,deadlift,4,30.0,130.0
2023-11-30,weighted pull up,3,23.756,107.0
2023-11-30,weighted pull up,4,39.679,107.0
2023-11-30,weighted pull up,3,99.977,107.0
2023-11-30,benchpress,9,113.0,40.0
2023-11-30,HB: SC 20mm,1,10.0,103.0
2023-11-30,benchpress,5,44.1,50.0
2023-11-30,benchpress,4,30.0,60.0
2023-11-30,benchpress,4,51.4,60.0
2023-11-30,HB: SC 20mm,1,10.0,103.0
2023-11-30,benchpress,4,50.4,60.0
2023-11-30,benchpress,4,105.5,60.0
2023-11-30,HB: IMR 20mm,1,10.0,86.0
2023-11-30,benchpress,4,67.0,60.0
2023-11-30,HB: IMR 20mm,1,10.0,86.0
2023-11-30,HB: SC 20mm,1,10.0,103.0
2023-11-30,HB: IMR 20mm,1,10.0,86.0
2023-11-30,HB: SC 20mm,10,30.0,105.0
2023-11-30,HB: IMR 20mm,10,30.0,85.0
2023-11-30,HB: SC 20mm,10,30.0,103.75
2023-11-30,benchpress,4,30.0,60.0
2023-11-30,benchpress,5,30.0,60.0
2023-11-30,benchpress,4,30.0,60.0
2023-11-30,HB: IMR 20mm,10,30.0,85.0
2023-11-30,HB: IMR 20mm,10,30.0,86.25
2023-11-30,HB: SC 20mm,10,30.0,102.5
2023-11-29,HB: IMR 20mm,1,10.0,62.0
2023-11-29,HB: IMR 20mm,1,10.0,62.0
2023-11-29,HB: IMR 20mm,1,10.0,62.0
2023-11-29,HB: IMR 20mm,1,10.0,62.0
2023-11-29,HB: IMR 20mm,1,10.0,62.0
2023-11-29,HB: IMR 20mm,1,10.0,62.0
2023-11-29,HB: IMR 20mm,1,10.0,62.0
2023-11-29,HB: IMR 20mm,1,10.0,62.0
2023-11-28,deadlift,3,30.0,130.0
2023-11-28,deadlift,4,249.5,80.0
2023-11-28,HB: IMR 20mm,1,20.3,86.0
2023-11-28,deadlift,1,17.0,128.0
2023-11-28,HB: IMR 20mm,1,16.8,86.0
2023-11-28,deadlift,1,2.8,128.0
2023-11-28,HB: SC 20mm,10,30.0,103.5
2023-11-28,deadlift,1,49.9,128.0
2023-11-28,HB: SC 20mm,1,10.0,102.5
2023-11-28,HB: IMR 20mm,1,17.5,86.0
2023-11-28,HB: SC 20mm,1,10.0,102.5
2023-11-28,HB: IMR 20mm,4,30.0,87.5
2023-11-28,HB: IMR 20mm,10,30.0,86.75
2023-11-28,HB: IMR 20mm,10,30.0,85.0
2023-11-28,HB: SC 20mm,10,30.0,102.5
2023-11-28,deadlift,1,30.0,130.0
2023-11-28,HB: SC 20mm,10,30.0,103.5
2023-11-28,deadlift,4,156.0,80.0
2023-11-27,HB: IMR 20mm,1,10.0,62.0
2023-11-27,HB: IMR 20mm,1,10.0,62.0
2023-11-27,HB: IMR 20mm,1,10.0,62.0
2023-11-27,HB: IMR 20mm,1,10.0,62.0
2023-11-27,HB: IMR 20mm,1,10.0,62.0
2023-11-27,HB: IMR 20mm,1,10.0,62.0
2023-11-27,HB: IMR 20mm,1,10.0,62.0
2023-11-27,HB: IMR 20mm,1,10.0,62.0
2023-11-26,benchpress,3,30.0,60.0
2023-11-26,HB: SC 20mm,10,30.0,102.5
2023-11-26,benchpress,3,30.0,60.0
2023-11-26,benchpress,3,30.0,60.0
2023-11-26,benchpress,3,30.0,60.0
2023-11-26,benchpress,3,30.0,60.0
2023-11-26,HB: SC 20mm,10,30.0,102.5
2023-11-26,HB: SC 20mm,5,30.0,102.5
2023-11-26,weighted pull up,3,30.0,106.5
2023-11-26,HB: IMR 20mm,10,30.0,86.0
2023-11-26,weighted pull up,3,30.0,106.5
2023-11-26,HB: IMR 20mm,10,30.0,86.0
2023-11-26,weighted pull up,3,30.0,106.5
2023-11-26,HB: IMR 20mm,10,30.0,86.0
2023-11-26,weighted pull up,3,30.0,106.5
2023-11-26,weighted pull up,3,30.0,106.5
2023-11-23,benchpress,4,30.0,60.0
2023-11-23,deadlift,3,30.0,130.0
2023-11-23,deadlift,3,30.0,130.0
2023-11-23,benchpress,3,30.0,60.0
2023-11-23,benchpress,3,30.0,60.0
2023-11-23,deadlift,3,30.0,130.0
2023-11-21,deadlift,3,30.0,135.0
2023-11-21,deadlift,3,30.0,135.0
2023-11-21,deadlift,1,30.0,135.0
2023-11-21,HB: SC 20mm,10,30.0,100.0
2023-11-21,HB: SC 20mm,10,30.0,100.0
2023-11-21,HB: SC 20mm,10,30.0,100.0
2023-11-21,HB: IMR 20mm,10,30.0,82.5
2023-11-21,deadlift,3,30.0,130.0
2023-11-21,HB: IMR 20mm,10,30.0,82.5
2023-11-21,deadlift,2,30.0,130.0
2023-11-21,HB: IMR 20mm,10,30.0,82.5
2023-11-21,HB: IMR 20mm,10,30.0,82.5
2023-11-16,weighted pull up,3,30.0,103.0
2023-11-16,weighted pull up,3,30.0,103.0
2023-11-16,weighted pull up,3,30.0,103.0
2023-11-16,weighted pull up,3,30.0,103.0
2023-11-14,HB: SC 20mm,1,30.0,100.0
2023-11-14,HB: SC 20mm,1,30.0,95.0
2023-11-14,deadlift,4,30.0,130.0
2023-11-14,deadlift,3,30.0,130.0
2023-11-14,HB: SC 20mm,1,30.0,100.0
2023-11-14,deadlift,3,30.0,130.0
2023-11-14,deadlift,3,30.0,130.0
2023-11-14,HB: SC 20mm,1,30.0,100.0
2023-11-14,deadlift,3,30.0,130.0
2023-11-14,HB: SC 20mm,1,30.0,100.0
2023-11-09,benchpress,1,30.0,60.0
2023-11-09,benchpress,1,30.0,70.0
2023-11-04,deadlift,3,30.0,120.0
2023-11-04,deadlift,3,30.0,120.0
2023-11-04,benchpress,3,30.0,60.0
2023-11-04,deadlift,3,30.0,120.0
2023-11-04,deadlift,3,30.0,120.0
2023-11-04,benchpress,3,30.0,60.0
2023-11-04,benchpress,3,30.0,60.0
2023-11-04,benchpress,3,30.0,60.0
2023-10-21,benchpress,5,30.0,50.0
2023-10-21,deadlift,5,30.0,100.0
2023-10-21,deadlift,5,30.0,100.0
2023-10-21,deadlift,5,30.0,100.0
2023-10-21,benchpress,5,30.0,50.0
2023-10-21,benchpress,5,30.0,50.0
2023-10-17,benchpress,5,30.0,40.0
2023-10-17,benchpress,5,30.0,40.0
2023-10-17,benchpress,5,30.0,40.0
2023-10-17,deadlift,5,30.0,90.0
2023-10-17,deadlift,5,30.0,90.0
2023-10-17,deadlift,5,30.0,90.0
2023-10-14,deadlift,3,30.0,140.0
2023-10-14,benchpress,4,30.0,70.0
2023-10-14,benchpress,3,30.0,70.0
2023-10-14,benchpress,2,30.0,70.0
2023-10-14,deadlift,3,30.0,140.0
2023-10-14,deadlift,3,30.0,140.0
2023-10-14,deadlift,3,30.0,140.0
2023-10-10,benchpress,5,30.0,65.0
2023-10-10,benchpress,6,30.0,65.0
2023-10-10,benchpress,6,30.0,65.0
2023-10-10,deadlift,5,30.0,135.0
2023-10-10,deadlift,5,30.0,135.0
2023-10-10,deadlift,5,30.0,135.0
2023-10-07,deadlift,1,30.0,140.0
2023-10-07,deadlift,3,30.0,140.0
2023-10-05,benchpress,6,30.0,65.0
2023-10-05,benchpress,5,30.0,65.0
2023-10-05,benchpress,6,30.0,65.0
2023-10-04,deadlift,3,30.0,130.0
2023-10-04,deadlift,5,30.0,70.0
2023-10-03,deadlift,3,30.0,140.0
2023-10-03,deadlift,3,30.0,140.0
2023-10-03,deadlift,3,30.0,140.0
2023-09-28,deadlift,3,30.0,135.0
2023-09-28,deadlift,4,30.0,135.0
2023-09-28,deadlift,2,30.0,140.0
2023-09-28,benchpress,5,30.0,65.0
2023-09-28,benchpress,5,30.0,65.0
2023-09-28,benchpress,5,30.0,65.0
2023-09-28,deadlift,4,30.0,135.0
2023-09-26,benchpress,2,30.0,70.0
2023-09-26,benchpress,2,30.0,70.0
2023-09-22,deadlift,3,30.0,135.0
2023-09-22,weighted pull up,6,30.0,95.0
2023-09-22,deadlift,3,30.0,135.0
2023-09-22,weighted pull up,6,30.0,95.0
2023-09-20,benchpress,6,30.0,60.0
2023-09-20,benchpress,6,30.0,60.0
2023-09-20,benchpress,6,30.0,60.0
2023-09-20,benchpress,6,30.0,60.0
2023-09-18,benchpress,6,30.0,60.0
2023-09-18,benchpress,6,30.0,60.0
2023-09-18,benchpress,6,30.0,60.0
